predator,senderID,letterLines,wordLines,numberOfLines,spaces,funkyWords,posEmoticons,neuEmoticons,negEmoticons,consecutiveLetters,alert,blacklist,misspelledWords,negativeSent,positiveSent,message
p,2918b2f2b8fe0d6f185ec6a2dd79c632,0,-1,12,0,0,0,0,0,-1,1,1,3,-9,10,"nothing  being bored out of my mind what u doin? day off today u can come over if ya want wish i was gonna be around yeah thats really stupid what can i do to cheer u up? too bad she is there now or i could give ya some lovin to cheer ya up so what ya gonna do on your free days? cool cool i am soooooooooo bored right now "
p,9dc04852863541e939e7c66cf5469240,1,-1,2,0,0,0,0,0,-1,0,0,0,0,0,"if u let me what time u be here i need talk to u "
p,6f35a1f69fd4ae82056e4bc6a8a84575,0,-1,1,0,1,0,0,1,-1,0,0,0,-2,0,"where are u cory? i miss u!:( "
p,c1f43e1c992120a1c460b8ef7d0b4e9b,0,-1,1,0,0,0,0,0,-1,0,0,0,0,0,"hi "
p,d18fb2dc834414a71aace67bee91c432,2,-1,1,0,10,0,0,1,-1,2,2,3,-11,9,"cheles i miss you :(. i really enjoy talking to you. i hope your not mad at me for anything :(. sry i've been so busy lately. i just got stuck doing another final group project and i have to mainly do all the work which really blows. stupid school! i really really miss you. and i hope you don't think that i'm jsut saying that because i really do. you make me laugh and smile. i hope to talk you you soon again :-d "
p,ca5496597b7151b9c2414c16c4ef5422,1,-1,12,2,0,0,0,0,-1,0,0,0,-4,3,"you there? i've been so busy sorry nice pic of you new pic? any new pics? no no new ones sorry it was okay how was yours? how did u get back online? "
p,c62283536cf6261e5ffbcb323c8a2571,0,-1,2,0,2,1,0,0,-1,0,0,0,0,0,"ok i'll be on at 8:30 i'm eating to "
p,aebe7a87ad50fbad92d9931c49cae848,3,-1,32,0,4,0,0,0,-1,3,3,4,-9,17,"heey feel better? good felt like eating finaly huh? good yep here too may be cold this weekend me too wanna see you in alow top great not if it's too cold cool i'll bring you a nall cap ballcap so your hair don't blow all over do you have sunglasses? cool hate to see you cover those eyes though exotic eyes yep uh huh they just beg to be kissed i do lips too thanks they need kissing too damn  i have to go on a fire call  will you be on later? see you then i'll let you know when i get back so you can call bye for now :-* "
p,d18fb2dc834414a71aace67bee91c432,1,-1,15,0,3,1,0,0,-1,0,0,3,-4,13,":-t lol hey there what brings u on so early? sitting in ur dungeon all bored are we? lol ooo what u studying? is christy helping? need help? lol write down a problem :) lets see if i can figure it out lol ooo u want me to let ya finish? k :) talk alter muah "
p,fb169d16c42ca83583dd05b3f4d7fc98,0,-1,2,0,0,0,0,0,-1,0,0,0,-1,0,"where you been stranger leave me a message when you come on if you still wanna talk to me "
