predator,senderID,letterLines,wordLines,numberOfLines,spaces,funkyWords,posEmoticons,neuEmoticons,negEmoticons,consecutiveLetters,alert,blacklist,misspelledWords,negativeSent,positiveSent,message
np,90aa9d365f2c2a062c0b2044ffafb0a3,0,0,3,0,0,0,0,0,0,0,0,1,0,0,"hee h female holland you"
np,d4a4b9126a1cbcd1ec67698fb472b1f4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,"hey asl"
np,cf52d3a30db82e63a341a8901c824846,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"Hey h m here"
np,5db8458ce291c59da8cff42eb1d79d8a,0,0,2,0,0,0,0,0,0,0,0,0,0,0,"I WANNA BE THE VERY BEST NA NA NA"
np,bf7154de68abef4ca725456072cc1972,0,0,3,0,0,0,0,0,0,0,0,1,0,0,"himple h hi oo young"
np,771deebfcdba711f5baec07800bb2cf9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"h f"
np,c103f2995188a122defff9e4f6325607,0,0,3,0,1,0,0,0,1,0,0,1,0,0,"hey h m ny u"
np,7c4f1265f349222376d29f83ca06520f,0,0,2,0,0,0,0,0,0,0,0,0,0,0,"hi asl"
np,68138dbc3875d0a8a58d8f9bedd105ab,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"hey are you black or white"
np,fb1deceb5c4759b84c64edd1527cfc25,0,1,2,0,2,0,0,0,0,0,2,0,-4,0,"i am white and fucking horny"
np,b6a782084087165405382131b5f28388,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"hi baby how are u this evening"
np,0a39f78bcb297ab0ebe8a29c28bfed89,0,0,2,0,4,0,0,0,0,0,1,2,0,1,"Revised parsing algorithm should allow HTML content in MathML"
np,c7f039cc1a2974c4c5be04984f041d41,0,0,3,0,2,0,0,0,0,0,0,0,0,0,"hi u"
np,f38a34be8f7d883e0c90949fdf21c6ec,0,0,2,0,0,0,0,0,0,0,0,0,0,0,"hi asl"
np,0430d00eb5fd799ce1ef1042dfcb2e1e,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"h m gay"
np,da467ad3ef01b23a2ce9d803c65858e6,0,0,2,0,0,0,0,0,0,0,0,0,0,0,"hi m Uruguay here"
np,c8079a6fce21e22c18480e04d43b4d93,0,0,2,0,0,0,0,0,0,0,0,0,0,0,"Hi M here"
np,9830e854408ba2f83e720899fb0ea5dc,0,0,1,0,1,2,0,0,0,1,0,1,0,0,"Who wants to be facebook"
np,9b5729ff28ecf6b3bb490984b44e1d1c,0,0,4,0,0,0,0,0,0,0,0,0,0,0,"hi h m korea and you"
np,4ca4325b92e216337840676fe7229ad6,0,0,1,0,1,0,0,0,0,0,0,0,0,0,"asl"
np,f2c1cf312753ed082c92c8122a8ba8e0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,"hi m u"
np,eee970b7acbf431062b28d62259e7a6b,0,0,2,0,0,0,0,0,0,0,0,0,0,0,"hey asl"
np,5b1fb474180c565f70cb1512d206d41c,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"hola"
np,0801f173df5f1e34b7ac6d82d863e1ab,0,1,3,0,1,0,0,0,0,1,1,0,-7,1,"hi wanna suck my big and shaved dick"
np,7d4e4a378ce75bf239ad749ecbf1c447,0,0,1,0,0,0,0,0,0,0,0,1,0,0,"asdfjkhasdf"
np,57b25ee901381a30e700cad621bb7591,0,0,3,0,1,0,0,0,0,0,0,1,0,0,"HEY sdkljfskldjakldjlasjd meow"
np,eb339ec70a89c694ffd14847fd5b8b06,0,0,1,0,0,0,0,0,0,0,0,1,0,0,"Samantha"
np,1be466cb182fb46f569f71d49c65fe5d,0,0,3,0,0,0,0,0,0,0,0,0,-2,0,"Hello no sorry pal"
np,496584e80814fdfc7d2088682505ac3e,0,0,2,0,3,0,0,0,0,0,0,1,0,0,"imagination"
np,7b27a729585862d7c88d1c10a9419ae7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"hey"
np,4699c31c04bbbaf2b8bd30f3c61bf9c7,0,0,1,0,0,0,0,0,0,0,0,1,0,0,"h f Slovakia"
np,8be0b9ae047d15aec0b132fbfe94855c,0,0,2,0,1,0,1,1,0,0,1,0,-1,0,"hey i got a pic of myself and wanna no what u think"
np,d7ce7331869e2172dbb79bec91fd5931,0,0,33,0,31,5,0,1,3,0,0,9,0,10,"I love you Usa illinois Yes sadly awe staves wahahe xD We should end it can we still be friends me Home wishing I wasn You found me I forgot yours too tell me first I asked you second No you tell me first because you love me I Adrianna yours I did I love it ahh xD ahh Je t I Jeg esker dig It xD I speak english very well and little spanish barely french It"
np,c90b7075ddb0c832646ba282d7ca9d7a,1,0,46,0,5,4,0,0,0,0,0,11,-4,37,"i love you xD where are you from my love The Netherlands Amsterdam pretty far away for a relationship im crying right now honestly i have to confess i have a girlfriend here in Amsterdam but i dont reallot love her you are the only one i love but i wanna know do you really love me or should i end this relationship right now of course we can after all we have been through i can never forget the great time i had with you so where have you been lately all around the world searching for you im sorry but i forgot your age could you tell me please i asked you first so i tell you second im h i also forgot your name but now you tell me first Robbin i love yours too i still love everything about you ik ho van jour i love you in Dutch ihi french ich lieue dich segni suiform Ti Amo Te quire haha you use a translator hahahahha denmark i speak dutch and english very good french and german a little well i always people from can speak there own motherlanguage everywhere they go thats not fair haha"
np,36368835b49afe6ec8bfee4b65475c8d,0,0,3,0,0,0,0,0,0,0,0,0,0,0,"Hey Asl Asl"
np,c2827ad736808e3291d45b42abd96728,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"declare Kosovo"
np,471b5cd792ff3cc22bda06bd170aab57,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"hi"
np,0a39f78bcb297ab0ebe8a29c28bfed89,0,0,2,0,7,0,0,0,0,0,1,0,0,0,"Consider the poem example of figure It should be possible to omit the How to change the opacity of an element in a canvas element after it has been drawn"
np,e03aa9707bd13f180c517ae1a47e9da2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"hey were did u go"
np,42105f8dee01ddfc7fb5bba241ae90d3,0,0,2,0,1,0,0,0,0,0,0,0,0,0,"hi m m"
np,ce2597b6c5f40a555848988b731a2f5e,0,1,1,1,1,0,1,1,0,1,1,0,0,0,"horny"
np,626cf9bff43032e404be41cba9acae17,0,0,6,0,2,0,0,0,0,0,0,2,0,0,"how can I remove all my epitaphless rules how can I remove all my epitaphless rules how can I remove all my epitaphless rules anyone know or anything about it"
np,93dede99112199d049a1bc421e564cd4,0,0,5,0,7,0,0,0,0,0,0,2,0,0,"epitaphless epitaphless nat epitaphless mangle Stu man"
np,d949efae795da71ef603b60b018d191c,0,0,2,0,2,0,0,0,0,0,0,1,0,0,"epitaphless is probably the default conf Hehe what"
np,edb259c0e0038f38bb200bc20c8cbf7e,0,0,7,0,7,1,1,1,1,0,1,1,-5,0,"is the proper way to write it down right body auto whatever suits you then aah damnit no hook in HTML for"
np,a924fb58d2c25874322f4e5126f608b9,0,0,1,0,0,0,0,0,0,0,0,0,-2,0,"wonders how many of the fields in the IANA registration are long obsolete"
np,3c6e0b8a9c15224a8228b9a98ca1531d,0,0,20,0,6,0,0,0,0,0,1,6,-2,22,"the preferred way to make your content be constrained to h PX wide and centred in i was thinking something like well i like your idea i just know we could do that would you guys use oh hm nice something like ok awesome thanks does div mean division i thought it meant division and was the most generic container tag there is i like division division division would it be better to use to fix the width of my web page and Center it is it supported to fix the width of body that something controlled by browser window width is it possible to fix the width of body yet still have the body bgcolor affect the entirety of the browser window ok nice so what would the CSS look like to do something like this"
np,592a2a50deb4964317956c18d100f8ac,0,0,2,0,1,0,0,1,0,0,1,0,0,3,"I think div could be better for wrapper yeah same way you use article"
np,8b3687499080633e1898fa1dd209ef81,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"That would be a div indeed"
np,cc097e0d7183ae8436e7df709553c8c0,0,0,7,0,6,2,0,0,0,0,2,0,-1,5,"The div element has no special meaning at all It represents its children It can be used with the class lang and title attributes to mark up semantics common to a group of consecutive elements the above is the definition why do you need it at all you already have two wrapper elements and supported since ie if you care about ie you need a div yes"
