predator,senderID,letterLines,wordLines,numberOfLines,spaces,funkyWords,posEmoticons,neuEmoticons,negEmoticons,consecutiveLetters,alert,blacklist,misspelledWords,negativeSent,positiveSent,message
np,91f3eccf9f50a7880a98a2ac38d13385,0,0,2,0,0,0,0,0,0,0,0,0,-1,1,"your god is a lie no bill"
np,5efdc8a07a2d58175d4cb734069221e0,0,0,3,0,3,0,0,0,0,0,0,1,-2,3,"that link you posted seems to have an answer to your question hahaha how on earth does someone answer their own question by accident"
np,b4fb06241afce6183239a809b40f0998,0,0,2,0,2,0,0,0,0,0,0,0,0,0,"Hey there You first"
np,afa1cfe2046b664d42825ef60c80a617,0,1,24,1,11,6,1,2,3,0,4,2,-4,5,"h m mam u y XD XD u like anal mmmm can i eat ur ass out force me h can i see a pic how big are ur tits mmmm h got milk for me how old are u oooo man i wanna see a pic its fine pease cant wait"
np,eaa23271a7bd91ec051e41816da20507,0,0,3,0,0,0,0,0,0,0,0,1,-1,0,"hey bro no make me"
np,64cfcc6f37a049132c42aecc0cea220d,0,0,2,0,1,0,0,0,0,0,0,1,-4,0,"hi all got a strange problem with printers they disappear after a while any idea where to start looking for clues using delian samba"
np,9195ddae0b0d38a9c2fd1e0381edbd48,0,0,6,0,2,0,0,0,0,0,1,6,-1,0,"you shouldnt add it in there SX uses lookup which takes its confix from netinfo so you should add it into the configuration pane in the GUI System Preferences no it doesnt"
np,c7973aff9b7bdb0a0ad08d5b3d1ee712,0,0,4,0,14,0,0,0,0,0,0,7,0,1,"first of all if Issi needs it and you want Issi then you need both makes sense eh pkg_info grep ok then you have glib yet np glib is lib BTW gnetopsida use that"
p,47243a4a2c68f2f00899670d455a21fa,0,0,6,0,0,0,0,0,0,0,0,0,0,0,"A truck Ford Grey Grey Green Black"
np,77194253ee065122d06a4a8fecbc35bd,0,0,1,0,3,0,0,0,0,0,1,0,0,0,"hm my names are never more than two words anyway"
np,b25b6b77a0087ff8385941e5545d32ea,0,0,1,0,1,0,0,1,0,0,0,1,0,0,"You should probably let the damalic know too"
np,0ff551825eefd6e6b2c3185f7e00b54f,0,0,1,0,0,0,0,0,1,0,0,0,0,0,"The paste h has been moved to"
np,156d76b3ddb329fee12850ad2c2ad0aa,0,0,3,0,1,0,0,0,0,0,0,0,0,0,"hi h m bosnia u"
np,1ceb0f81febc6a6b061247e9493a18bb,0,0,1,1,0,0,0,0,0,0,1,0,0,0,"hello"
