predator,senderID,letterLines,wordLines,numberOfLines,spaces,funkyWords,posEmoticons,neuEmoticons,negEmoticons,consecutiveLetters,alert,blacklist,misspelledWords,negativeSent,positiveSent,message
np,e8e726f516fd66f8651909724455584d,0,0,3,0,1,0,0,0,0,0,0,0,0,0,"hi m u"
p,422af212405c94b69bbe0c7ca9c8477c,0,1,6,0,2,0,0,0,0,0,1,0,0,6,"ok can u call in a hour my friend scott is coming over to borrow a movie is that ok i cant wait to hear your voice so sexy and nice Are you still my boyfriend"
p,e4c7c376bbd07aeb4a59684a2b94a664,0,0,6,0,1,0,0,0,0,0,0,1,0,3,"hi love you ctg wife is close TTL"
np,4c08f6daace45a497750ff0d93132001,0,0,4,0,2,0,0,0,0,0,0,0,0,0,"returns a string saying instead of the XML doc oo i got it"
np,415453ce1efef882d108e3e56427ff63,0,1,3,0,0,0,0,0,0,1,0,0,0,0,"HEY ANYONE there I WOULD LIKE TO BUTT fuck"
np,4dcc843c6b8db34d4109155b7f599bb9,0,0,2,0,0,0,0,0,0,0,0,0,0,0,"hi i"
np,b8e12f1ab36a678922ed978f0d74563f,0,0,1,0,1,0,0,0,0,0,0,0,0,0,"Hey"
p,04bfa707d3313179ef48177d7270938e,0,0,10,0,0,0,0,0,0,1,1,1,-2,7,"any naughty ones loli u have any comedies movies ok what would u like to do ru looking for sex i want to meet u and fool around i wont have intercourse with u maybe kissing i got booted ru up to meet tonite hun well i have to trust u that u arent a cop"
np,5dedd57fbd44230f0a77a670bedc0787,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"asl"
np,66ece614ae6495a6bbd97904169f1dae,0,0,2,0,0,0,0,0,0,0,0,0,0,0,"hey asl"
np,a3f19f90edf0a0893c7847d08016abe3,0,0,1,0,1,0,0,0,0,0,0,0,0,0,"is DOMStringMap used by any other spec or is its only use for"
np,0ce58e017a03cbf0798b41404d99a546,0,0,2,0,0,0,0,0,0,0,0,0,0,0,"hey m"
